,cluster_number,lesion_label,lesion_volume,lesion_centroid,RLoc,angleA,heightR,critical_index,sign,Alarm
0,SDH2,,,,,,,,,
0,1,13,27.6303019478,[ 229.63180516  132.232226     12.58864613],[ -1.84456789e-01  -9.82840428e-01   6.21018280e-04],10.6294657172,0.59945933961,0,1,1.0
0,2,12,26.4192495836,[ 221.55621108  115.88832701   12.81598539],[ -2.11133062e-01  -9.77457118e-01   6.43002184e-04],12.1887633893,0.610285018629,0,1,1.0
0,3,13,4.27641268954,[ 133.59328898  229.14058432   13.9218976 ],[-0.93513344 -0.3542933   0.00130436],69.2498428139,0.662947504718,1,1,0.0
0,4,6,3.45626180346,[ 154.63707946  173.3575519    14.83679313],[-0.70739914 -0.70681248  0.00160852],45.0237681446,0.706513958482,1,1,0.0
0,5,33,2.32314232888,[ 265.65388711  200.00106496   17.5686901 ],[ 0.10174482 -0.99479482  0.00559046],-5.83974514302,0.836604290278,0,0,0.0
0,6,12,0.811491676117,[ 220.99695122  224.58384146   18.        ],[-0.60818677 -0.79376309  0.00700015],37.4595855783,0.857142857143,0,1,0.0
0,7,13,0.750877206407,[ 229.70181219  175.3723229    18.        ],[-0.27152637 -0.96242154  0.00426794],15.7552623883,0.857142857143,0,1,0.0
0,8,13,0.737269876472,[ 208.25        213.31543624   17.29530201],[-0.63559461 -0.77200717  0.00494128],39.4646754348,0.823585810163,0,1,0.0
0,9,12,0.567796767283,[ 216.69063181  194.76906318   17.45533769],[-0.46176302 -0.886992    0.00448454],27.5012302732,0.831206556697,0,1,0.0
