,cluster_number,lesion_label,lesion_volume,lesion_centroid,RLoc,angleA,heightR,critical_index,sign,Alarm,,,,,,cos2.15x,,,tanh
0,CONT1,,,,,,,,,,,,,,,,,,
0,1,4,2.355462338,[ 358.29519774  160.16631356   14.64159605],[ 0.66656479 -0.745438   -0.00368514],-41.80283158,0.366039901,1,1,0,,0.599599289,,,,1.175184122,,0.995201659,
0,2,6,0.321879917,[ 415.36692506  217.17312661   14.75710594],[ 0.9701334  -0.24255315 -0.00302565],-75.96265584,0.368927649,1,1,0,,0.243806571,,,,0.315107771,,0.306991572,
0,CONT2,,,,,,,,,,,0,0.84340586,,,0,1.490291894,0,1.302193231
0,1,9,0.630950928,[ 379.01451028  320.82829504   18.01088271],[ 0.93649285  0.34994155  0.02284855],69.51067067,0.600362757,1,1,0,,0.410097325,,,,0.587152732,,0.578262626,
0,2,9,0.551605225,[ 365.21438451  205.67219917   18.10096819],[ 0.87354985 -0.48625423  0.02162161],-60.89786581,0.603365606,1,1,0,,0.283322135,,,,0.456492464,,0.455331682,
0,3,9,0.298309326,[ 378.41943734  294.56521739   19.35805627],[ 0.98344255  0.17950959  0.0248406 ],79.65557688,0.645268542,1,1,0,,0.244743413,,,,0.296577147,,0.288555067,
0,CONT3,,,,,,,,,,,0,0.938162874,,,0,1.340222343,0,1.322149374
0,1,12,9.860860639,[ 192.07543687  322.05463943   16.39269013],[-0.85387711  0.51966071  0.02909699],-58.67574185,0.745122279,1,-1,0,,-4.734388225,,,,-7.839094944,,-7.809188067,
0,2,13,9.68733085,[ 200.11737442  313.92296129   16.0085181 ],[-0.87225191  0.48815067  0.02975785],-60.76669782,0.727659914,1,-1,0,,-4.956358653,,,,-7.998903557,,-7.978600512,
0,3,13,8.109787307,[ 379.50620979  339.91336226   17.14140356],[ 0.7689521   0.63903349 -0.01867783],50.27190695,0.779154707,1,1,0,,2.926457381,,,,5.313617542,,5.077056038,
0,4,13,6.506760368,[ 217.10276016  221.19544946   16.31350242],[-0.82065869 -0.5706817   0.02901235],55.18545331,0.741522837,1,-1,0,,-2.791907537,,,,-4.813175333,,-4.751073325,
0,5,12,5.368502027,[ 377.04181736  367.22626582   16.94552441],[ 0.6432419   0.76550292 -0.01565672],40.03988776,0.77025111,1,1,0,,1.258394235,,,,2.50101526,,2.046047903,
0,6,12,4.647685977,[ 394.86109661  278.14699739   17.13890339],[ 0.99744991  0.06686326 -0.02495959],86.16496078,0.779041063,1,1,0,,4.336829715,,,,4.637919964,,4.565991051,
0,7,13,4.236311161,[ 337.98682326  270.67487826   18.01174449],[  9.99836296e-01  -3.06237315e-04  -1.80911043e-02],-89.98245102,0.818715658,1,1,0,,4.235013632,,,,4.178111527,,4.184754123,
0,8,12,4.190198349,[ 208.24152911  227.01621778   15.89516363],[-0.87869885 -0.47642131  0.03018378],61.53391481,0.722507438,1,-1,0,,-2.192988565,,,,-3.505070795,,-3.495641986,
0,9,12,3.697519366,[ 336.58024286  265.72924188   18.38431244],[ 0.9931925  -0.11523478 -0.01701777],-83.38187032,0.835650565,0,1,0,,3.271374822,,,,3.697369732,,3.612674907,
0,10,12,3.085917869,[ 230.03814392  195.44435706   17.16869839],[-0.60881073 -0.79298475  0.02290589],37.51510143,0.780395381,1,-1,0,,-0.638189844,,,,-1.292480626,,-1.002466549,
0,11,13,2.428203561,[ 266.5912044   150.97601199   11.23738131],[-0.21563234 -0.97645253  0.00656843],12.45290111,0.51079006,0,-1,0,,-0.057126895,,,,-0.130160947,,-0.096844263,
0,12,13,1.300866676,[ 349.96921642  225.75559701   17.46921642],[ 0.76489412 -0.64395643 -0.0160344 ],-49.90632177,0.794055292,1,1,0,,0.463057507,,,,0.843840607,,0.803465154,
0,13,6,1.124909896,[ 180.23300971  192.29557713   15.20819849],[-0.80495738 -0.59274966  0.02629551],53.63303571,0.69128175,1,-1,0,,-0.457889285,,,,-0.802922352,,-0.786605179,
0,14,13,1.10670747,[ 181.27412281  310.61513158   15.62828947],[-0.91759078  0.39636677  0.03034065],-66.63736304,0.710376794,1,-1,0,,-0.667843363,,,,-0.996847978,,-0.987552215,
0,15,12,0.968369036,[ 274.31453634  142.49373434   10.59774436],[-0.15189823 -0.98838674  0.00430954],8.737029598,0.481715653,0,-1,0,,-0.01123703,,,,-0.025789716,,-0.027189948,
0,16,13,0.828817108,[ 389.81112738  285.00146413   17.28696925],[ 0.98910347  0.14518418 -0.02441073],81.64954929,0.78577133,1,1,0,,0.70845011,,,,0.827565894,,0.806385038,
