,cluster_number,lesion_label,lesion_volume,lesion_centroid,RLoc,angleA,heightR,critical_index,sign,Alarm,,,,,atan,,
0,CONT10,,,,,,,,,,,,,,,,5.861570018
0,1,19,52.42056628,[ 359.58134738  212.08307683   16.73861581],[ 0.19415796 -0.9804852   0.03084564],-11.20093701,0.507230782,0,1,1,,2.28128252,,4.56256504,1.858435969,,0.156415893
0,2,7,38.28200114,[ 367.50783236  235.37086927   17.79557651],[ 0.329278   -0.94267033  0.05430137],-19.25448475,0.539259894,0,1,1,,4.782492815,,,2.860489754,,0.061025387
0,3,2,6.941612131,[ 401.6695423   167.23028996   16.01270069],[ 0.17080989 -0.98495719  0.0261402 ],-9.838306541,0.485233354,0,1,1,,0.233848451,,,0.21636671,,5.901737191
0,4,7,6.649675172,[ 323.40250156  136.61638524   15.75322076],[-0.11321664 -0.99339805 -0.01850146],6.50189207,0.477370326,0,-1,1,,-0.098468245,,,-0.150900988,,0.472671025
0,5,2,4.28340552,[ 337.46815534  125.9776699    18.60271845],[-0.09450108 -0.99544953 -0.01223871],5.423011955,0.563718741,0,-1,0,,-0.044191909,,,-0.087674395,,24.16121236
0,6,19,1.72251123,[ 333.77305649  129.60405601   18.34765814],[-0.10081933 -0.99481389 -0.01344556],5.786877979,0.55598964,0,-1,0,,-0.020226239,,,-0.036506404,,15.41464657
0,7,2,1.515410652,[ 198.064764    386.64983535   10.93029638],[-0.02928227  0.99950013 -0.01191817],-1.678109734,0.331221102,0,-1,0,,-0.001501755,,,-0.021646432,,0.121580759
0,8,49,1.501271255,[ 204.82548476  308.57839335   15.8199446 ],[-0.36114484  0.93071279 -0.05786281],-21.20776587,0.479392261,0,-1,0,,-0.225412477,,,-0.133672885,,3.400264726
0,9,2,0.931536735,[ 358.81607143  203.12946429   24.98303571],[ 0.08887433 -0.99562024  0.02901186],-5.101004277,0.757061688,0,1,0,,0.008506612,,,0.018488034,,0.511362383
0,10,49,0.772676452,[ 273.37351991  391.98277718   13.61571582],[ 0.27093893  0.96186738  0.03745973],15.73147337,0.412597449,0,1,0,,0.065382213,,,0.041827212,,
0,11,13,0.650412256,[ 278.41432225  141.04219949   20.22634271],[-0.31929883 -0.9466263  -0.04412377],18.63934754,0.612919476,0,-1,0,,-0.076356153,,,-0.045964367,,
0,12,2,0.563912416,[ 337.07522124  153.10619469   11.        ],[-0.01288097 -0.99987343 -0.00933819],0.738078088,0.333333333,0,-1,0,,-0.000108133,,,-0.00735717,,
0,13,2,0.531474976,[ 379.03442879  282.85289515   25.1971831 ],[ 0.65981507 -0.74008723  0.13005757],-41.71818143,0.763551003,1,1,0,,0.264318686,,,0.223480224,,
0,14,2,0.529811518,[ 349.21193093  288.84301413   28.        ],[ 0.71039779 -0.68244946  0.17203986],-46.14952038,0.848484848,0,1,0,,0.307357187,,,0.279771514,,
0,15,13,0.443311678,[ 346.11444653  276.88180113   26.87617261],[ 0.53846567 -0.83208503  0.13300088],-32.9080437,0.814429473,1,1,0,,0.148586361,,,0.104054081,,
0,16,13,0.424181906,[ 349.34901961  388.09019608   16.86862745],[ 0.68741706  0.71817859  0.10806158],43.74627943,0.511170529,1,1,0,,0.227086916,,,0.199112726,,
0,17,13,0.345999359,[ 407.45913462  304.66105769   20.63942308],[ 0.83649723 -0.52955224  0.14087868],-57.66376955,0.625437063,1,1,0,,0.269682552,,,0.268208278,,
0,18,7,0.336018608,[ 348.04455446  196.03960396   12.        ],[ 0.12955982 -0.99149357  0.01244017],-7.444735866,0.363636364,0,1,0,,0.006513393,,,0.008343068,,
0,19,2,0.32271094,[ 391.57474227  311.38402062   24.33247423],[ 0.89093206 -0.42376454  0.16329016],-64.56228598,0.737347704,1,1,0,,0.282778267,,,0.281159404,,
0,20,13,0.29110523,[ 297.04571429  180.90857143   24.40857143],[-0.25523364 -0.96657336 -0.02432523],14.79190696,0.73965368,0,-1,0,,-0.021851992,,,-0.014444313,,
0,CONT11,,,,,,,,,,,0,8.389719071,,0,5.861570018,
0,1,7,2.217392752,[ 339.13185459  190.64109673    7.60197166],[ 0.26446886 -0.96434887 -0.00935278],-15.33608219,0.237561614,0,1,0,,0.17857645,,,0.115721139,,
0,2,2,1.843045485,[ 333.85285397  120.02001483   14.96441809],[ -5.59472030e-03  -9.99984113e-01  -6.87740165e-04],0.320555609,0.467638065,0,-1,0,,-6.67E-05,,,-0.023096125,,
0,3,19,1.47894495,[ 395.71593533  112.75103926   13.44665127],[ 0.29786358 -0.95460743 -0.00139629],-17.32934733,0.420207852,0,1,0,,0.150914162,,,0.092743372,,
0,4,19,1.382625671,[ 337.99505929  190.25148221    6.91403162],[ 0.25224628 -0.96760985 -0.01014799],-14.61124472,0.216063488,0,1,0,,0.101331348,,,0.067462157,,
0,5,7,0.806759347,[ 317.36071126  118.90347163   15.27773074],[ -1.11136108e-01  -9.93805075e-01  -4.88261770e-04],6.380812092,0.477429086,0,-1,0,,-0.011507785,,,-0.01809723,,
